Kabupaten/Kota,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Daging Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DAGING,,,,,,,Daging sapi,,,,,,,"Daging kambing, domba/biri-biri",,,,,,,Daging babi,,,,,,,Daging ayam ras,,,,,,,Daging ayam kampung,,,,,,,Daging segar lainnya,,,,,,,Daging diawetkan lainnya,,,,,,,"Tetelan, sandung lamur",,,,,,,"Lainnya ( hati, jeroan, iga, kaki, buntut, kepala, dsb)",,,,,,
Cianjur,5111.45,5035.07,6250.64,7609.67,6107.47,7022.78,8143,687.94,765.25,960.65,1177.33,593.59,733.12,879,163.15,51.27,109.29,427.59,205.82,61.83,267,19.89,11.97,6.59,7.5,-,1.14,5,3312.61,3377.42,3979.49,4205.75,4259.17,4476.53,5091,599.3,542.22,696.34,1170.53,570.53,1033.06,1196,24.95,10.92,38.54,17.56,5.49,58.8,36,117.29,91.67,229.75,238.69,245.72,257.93,403,56.12,9.07,33.09,88.21,14.92,2.55,24,130.2,175.29,196.9,276.51,212.22,397.81,244
Bandung,7266.27,8310.42,7206.37,7442.88,7703.51,9233.58,8204,1401.11,1620.6,1496.98,1222.94,1082.77,1156.7,672,26.76,48.3,24.22,68.53,7.85,-,5,-,-,21.32,3.84,7.12,56.85,9,4993.66,5931,5173.78,5474.51,5603.86,6673.38,6159,338.89,318.51,71.63,184.13,93.94,116.87,197,52.24,9.59,35.4,19.76,37.68,82.41,12,104.14,74.45,87.18,58.8,612.32,725.34,775,66.95,19.03,27.59,63.93,30.71,42.38,64,282.53,288.95,268.26,346.45,227.26,379.65,312
Garut,5800.65,5370.96,6475.44,6136.67,7294.01,6934.11,7674,453.91,412.22,618.94,496.88,585.81,364.74,564,94.43,52.56,140.51,129.07,75.44,41.82,28,15.93,18.65,25.7,28.62,-,8.78,12,4402.71,3926.97,4619.03,4620.12,5328.4,5174.22,5385,543.62,532.16,503.8,388.29,491.77,556.8,378,47.71,61.92,81.34,34.05,29.32,33.41,62,75.61,64.66,58.1,22.38,277.66,320.07,670,29.4,15.9,49.82,5.66,29.54,32.22,29,137.34,285.92,378.2,411.58,476.05,402.04,546
Tasikmalaya,3972.6,5607.51,6103.33,5665.96,7938.55,6701.72,6332,565.79,814.7,1034.13,415.35,946.89,782,810,28.75,103.21,28.63,88.5,70.68,4.04,38,8.96,10.64,-,-,-,-,2,2630.24,3334.66,3921.68,3830.21,5168.53,4763.96,4378,610.25,943.06,911.18,889.2,1177.15,872.15,742,-,56.77,5.63,32.77,10.96,1.81,16,-,88.5,18.75,123.33,450.27,153.32,110,10.92,38.97,26.55,13.74,14.27,50.65,20,117.71,217,156.78,272.86,99.8,73.8,215
Ciamis,5487.52,5293.84,5381.22,5897.94,7670.38,7544.97,8289,784.52,759.26,681.28,802.58,1041.05,856.34,865,37.85,28.74,57.61,42.81,87.58,79.25,91,71.4,57.63,1.9,18.06,34.95,10.46,13,3593.16,3342.21,3307.94,4098.68,4904.21,5211.45,5991,721.18,879.62,838.55,654.32,774.45,886.32,485,102.8,-,157.38,13.67,164.97,19.24,4,16.97,9.72,66.61,11.85,482.97,268.25,497,62.86,67.39,90.17,93.72,39.5,75.5,106,96.78,149.26,179.79,162.25,140.72,138.16,237
Kuningan,4671.31,5496.64,7101.75,7342.22,7954.52,7619.77,7566,306.34,462.05,941.58,748.71,1010.26,1067.51,298,165.29,178.29,159.82,274.96,79.77,118.45,46,17.06,-,-,-,-,4.7,-,3579.99,3944.22,4987.3,5279.73,6012.31,5517.97,6100,289.09,504.49,521.29,562.02,158.36,314.77,219,117.78,39.68,41.43,43.41,23.06,37.18,11,19.71,98.9,33.32,35.67,355.06,271.78,587,49.12,78.59,39.08,78.5,56.99,51.84,89,126.94,190.42,377.92,319.21,258.71,235.56,218
Cirebon,3310,3945.42,4976.37,5168.58,6483.98,5685.8,6840,434.39,478.25,643.54,479.29,915.91,667.57,1030,53.44,66.58,-,5.21,3.18,75.16,26,7.87,2.43,10.14,10.31,3.91,2.63,-,2488.35,3025.48,4028.63,4204.54,4763.31,4260.19,4801,155.8,158.38,89.96,169.61,188.54,226.97,300,21.25,5.67,16.76,26.81,55.95,40.41,11,2.69,6.57,19.4,83.87,275.22,195.97,375,40.59,19.25,21.14,21.78,42.36,16.16,30,105.62,182.82,146.79,167.16,235.62,200.74,269
Majalengka,5129.54,5511.04,6427.91,7160.84,6781.16,6598.34,7127,757.73,1150.67,1068.7,1005.14,986.53,555.88,712,174.15,257.05,119.73,125.83,102.89,124.47,108,2.11,-,-,-,12.38,-,9,3589.09,3229.49,4243.56,5009.94,5019.01,4802.07,5162,380.26,695.73,718.8,658.83,240,466.81,258,36.97,18.01,41.47,58.41,31.88,9.59,12,14.29,33.66,14.29,46.25,312,404.38,581,6.69,27.34,14.65,8.56,0.01,35.94,26,168.24,99.09,206.7,247.88,76.46,199.2,259
Sumedang,5322.91,5507.13,8028.95,6809.8,8097.29,8769.17,8027,869.1,760.37,1704.83,846.96,803.98,731,948,32.61,96.9,38.57,91.34,49.71,16.85,58,56.68,-,-,7.89,68.73,-,39,3686.13,4034.72,5345.46,4923.03,5670.68,5891.37,5378,256.89,290.75,410.43,504.13,254.24,389.78,245,28.76,19.8,83.58,25.15,34.37,40.17,66,79.91,57.16,95.4,41.44,769.17,1237.07,894,25.49,34.29,21.97,57.1,31.14,56.42,47,287.34,213.13,328.71,312.75,415.28,406.5,354
Indramayu,3618.41,4071.11,5216.55,6375.96,6499.33,8097.95,8290,161.31,364.77,700.34,833.3,417.07,801.72,1136,22.33,1.06,117.36,93.57,42.9,344.77,25,14.76,16.9,19.97,41.76,8.35,-,5,3004.97,3093.53,3771.11,4663.9,5473.47,5841.18,5950,185.69,316.98,255.19,365.83,310.04,428.88,439,3.16,-,3.12,-,6.79,2.22,3,-,-,-,38.37,33.84,209.74,336,25.07,11.36,-,14.28,3.3,53.76,10,201.13,266.52,349.47,324.97,203.56,415.66,386
Subang,4054.33,4560.56,4539.43,6146.56,7041.57,7437.71,6897,711.73,712.04,558.47,1283.79,1316.36,871.67,880,141.72,16.28,63.34,61.17,36.29,3.35,152,-,5.41,7.73,-,32.63,-,2,2760.71,3159.24,3375.4,3799.39,4665.1,4867.35,4705,274.55,429.73,289.17,566.22,338.01,556.5,333,28.96,36.33,85.67,10.66,53.83,30.86,53,3.63,-,37.61,4.49,334.71,613.64,365,15.08,13.67,27.35,118.55,81.91,159.94,116,117.95,187.85,94.7,302.3,182.73,334.4,291
Purwakarta,6301.95,6427.32,6447.63,7727.57,8032.53,8858.22,7250,1036.29,1228,1475.74,782.44,1095.33,1141.59,1015,6.46,27.03,19.44,90.17,162.35,212.7,17,58.11,-,4.95,-,16.27,35.87,23,4295.25,4118.96,4007.92,5448.23,5300.95,5225.88,5073,365.27,513.44,516.26,676.8,509.93,576.05,355,108.28,97.95,68.43,24.2,16.19,72.24,9,50.59,26.74,10.19,215.72,480.67,930.82,396,190.79,235.21,149.27,148.53,154.88,176.33,85,190.92,179.98,195.42,341.47,295.96,486.74,278
Karawang,4789.11,5179.55,5100.67,5230.54,5877.62,6521.9,6614,820.16,924.46,843.46,568.66,880.93,1045.99,908,18.5,-,45.86,-,5.72,33.47,-,17.15,156.99,1.92,12.88,22.19,28.97,-,3451.91,3375.74,3714.95,4121.43,4510.86,4591.29,5002,249.05,449.7,245.03,282.32,162.01,267.08,143,-,3.18,16.62,11.19,12.79,12.15,17,2.22,25.14,13.73,52.63,178.18,347.07,364,89.4,66.81,129.22,20.38,32.47,67.06,89,140.73,177.55,89.88,161.05,72.46,128.82,91
Bekasi,6149.22,8157.26,6807.72,6970.79,10304.05,9699.67,9293,1229.84,1458.76,1119.31,957.96,2090.41,1778.2,1098,27.32,14.21,46.37,21.7,18.66,-,-,9.34,0.67,2.51,3.16,12.78,9.99,17,4312.95,6004.35,5076.9,5159.35,6165.38,5637.06,6022,271.16,213.79,164.32,292.59,241.31,328.71,374,27.62,29.9,70.7,58.49,32.61,48.29,131,12.8,61.55,57.89,88.9,1134.3,1328.34,1278,148.8,169.73,122.4,156.72,308.25,306.31,106,109.39,204.3,147.32,231.9,300.35,262.78,266
Bandung Barat,5672.38,7133.47,7171,7114.39,9085.67,7718.29,7946,1091.86,1056.05,1299.76,899.69,897.08,1154.55,1220,47.34,4.52,60.91,21.97,49.78,-,-,53.13,4.33,37.1,19.06,48.13,-,50,3929.46,5454.3,5102.9,5407.32,6709.79,5203.04,5317,243.49,211.22,303.33,317.52,267.92,264.32,169,53.18,15.56,14.61,57.68,66.98,4.62,6,37.24,40.87,70.4,90.16,726.46,731.88,834,40.54,10.38,44.6,85.99,83.61,76.83,55,176.14,336.24,237.39,214.99,235.9,283.06,295
Pangandaran,6233.38,6256.04,6581.23,7328.17,8774.14,8347.29,8192,830.03,903.56,629.56,1056.19,844.34,799.68,666,63.1,18.61,36.2,64.84,42.46,7.4,67,70.35,-,20.9,-,6.17,61.47,29,3649.47,3307.96,3559.72,3565.89,5329.37,5308.89,4748,1457.23,1699.73,2038.19,2182.17,2228.32,1550.53,2008,-,24.09,63.2,-,12.74,15.32,37,19.11,-,3.04,-,156.6,207.18,393,15.3,32.99,12.91,69.87,20.87,62,113,128.79,269.1,217.51,389.22,133.28,334.83,130
Kota Bogor,9901.56,10382.56,10983.74,13443.97,11389.24,14019.63,12579,2418.47,2187.54,2402.88,3553.81,2421.02,2820.72,2425,71.97,-,117.72,96,45.32,181.76,-,63.63,47.77,52.72,85.77,-,93.54,20,6033.97,6366.85,6604.13,7616.01,6900.01,7204.74,7090,207.14,287.99,190.34,206.75,122.03,451.3,252,67.95,66.14,82.33,155.73,34.56,82.87,116,263.42,284.58,471.58,773.38,1474.09,2401.67,2021,448.47,520.32,512.19,407.08,115.47,245.42,176,326.54,621.38,549.85,549.44,276.74,537.6,479
Kota Sukabumi,7433.65,9684.32,8452.37,9001.48,12630.36,13313.37,13480,1338.8,2454.03,2400.78,1674.66,3759.46,2217.69,1694,141.52,-,-,117.33,49.16,-,96,3.62,77.21,145.77,52.02,19.47,96.59,41,4962.68,5895.17,4589.15,5691.43,6516.15,6736.24,7864,410.73,518.81,374.39,258.87,180.1,267.47,547,27.64,55.06,173.49,200.24,33.46,74,159,281.39,237.9,281.18,408.24,1275.43,2652.52,2210,55.88,152.3,122.16,120.31,131.43,282.88,196,211.39,293.84,365.46,478.37,665.71,985.98,674
Kota Bandung,10997.33,11387.98,12673.4,14165.68,16492.58,17280.16,15759,2835.31,3057.49,2768.98,3375.89,4058.99,3868.8,3108,19.02,125.67,49.42,57.05,13.98,-,-,120.74,61.19,33.96,144.39,65.77,106.21,-,5845.06,6746.88,7554.9,8469.77,8616.69,8640.6,8518,580.81,315.27,448.94,439.12,326.31,317.88,275,185.59,130.45,284.14,269.32,437.65,55.49,233,577.35,466.43,636.35,307.29,2093.11,3579.16,2749,200.16,153.11,368.23,342.91,140.61,161.2,325,633.29,331.5,528.48,759.94,739.47,550.82,551
Kota Cirebon,6096.05,7114.38,6906.29,8306.78,9216.95,10166.76,8743,1493.74,1088.22,1262.52,2293.91,2288.06,2628.67,1757,108.21,54.44,41.41,223.69,2.39,110.3,22,40.03,40.98,13.48,31.32,191.54,32.89,-,3686.59,4411.83,4359.22,4627.52,5500.62,5728.38,5359,368.85,243.35,251.21,458.34,324.13,159.79,71,85.98,56.41,107.54,70.39,14.85,20.89,38,71.67,549.16,390.38,191.54,621.56,923.63,775,75.32,276.62,21.35,102.42,91.29,177.48,84,165.67,393.37,459.18,307.65,182.51,384.73,637
Kota Bekasi,10883.71,12032.37,12621.52,14455.53,20208.91,17987.9,19141,3219.89,3458.27,3150.01,3900.37,5877.28,4966.14,3781,-,31.11,31.43,4.04,39.55,54.94,83,93.87,104.58,137.26,119.64,72.14,22.8,48,6316.67,6582.35,6953.07,7881.77,9107.55,8972.27,9946,458.39,460.09,739.78,894.14,1424.02,567.72,648,61.85,148.52,205.74,233.98,213.74,61.97,205,160.66,288.03,225.13,247.54,2661.08,2775.62,3345,327.7,620.36,514.97,356.93,420.31,220.31,346,244.68,339.06,664.14,817.13,393.24,346.13,740
Kota Depok,10415.98,10780.9,12614.84,13446.24,18234.11,18979.96,19669,2327.34,2382.36,3082.18,2475.15,4522.12,4303.09,4448,139.7,34.43,103.04,12.56,-,-,130,-,41.86,29.61,73.23,6.48,16.34,39,5998.56,6574.48,7110.42,8468.82,9759.11,9756.62,9676,587.53,214.4,517.56,184.48,365.08,304.17,609,159.62,291.22,140.62,179.32,79.41,139.91,150,380.32,659.87,829.47,843.54,2704.48,3533.93,3492,339.14,292.84,354.63,444.5,302.63,284.6,455,483.77,289.45,447.33,764.65,494.81,641.3,670
Kota Cimahi,9616.94,11381.59,11268.98,11447.07,13268.51,14017.16,14559,1874.63,2786.24,2326.58,2704.04,2777.78,2354.51,2477,14.45,67.11,7.75,144.54,11.81,8.88,9,5.45,27.9,-,-,19.65,94.02,-,6374.48,6337.64,6859.19,6535.43,7166.92,7700.42,8227,159.04,373.91,381.79,344.5,322.87,250.51,234,93.22,282.6,223.47,199,222.53,161.63,72,415.72,720.55,668.36,697.34,1992.04,2609.25,2983,201.91,87.02,186.61,106.99,76,134.19,119,478.03,698.63,615.24,715.21,678.93,703.74,437
Kota Tasikmalaya,4753.45,5513.94,5741.79,8028.21,8729.24,10335.4,9828,1048.72,1202.59,1161.19,2368.34,1698.33,1999.75,1747,11.16,20.22,13.51,-,-,34.27,3,19.3,15.83,43.3,16.77,8.87,34.79,192,2923.08,3503.8,3397.13,4573.41,5766.85,6256.26,5772,383.66,388.81,511.23,589.81,308.36,802.48,665,44.4,24.3,52.39,27.4,69.39,35.55,126,181.29,83.23,85.69,103.35,701.13,836.86,1020,60.27,49.97,203.74,145.03,25.5,161.45,67,81.57,225.18,273.61,204.11,150.81,174,238
Kota Banjar,6553.03,4550.36,6401.81,6253.81,8431.19,8566.36,8322,604.7,429.7,451.36,776.94,1699.48,1789.63,1476,55.8,58.34,11.19,17.67,-,60.62,33,1.92,0.53,-,-,-,5.35,3,4520.26,3003.58,4507.41,4254.17,5281.94,5135.36,4917,962.61,664.97,871.64,624.39,333.28,537.14,714,5.59,12.21,23.59,68.22,25.59,9.81,12,50.11,125.28,63.24,187.11,549.82,507.52,647,50.24,65.8,62.83,85.59,100.59,121.65,78,301.79,189.94,410.55,239.72,440.48,399.28,444
Cilacap,3924.86,4011.8,3840.15,4678.94,5327.01,5531.17,5854,160.78,92.72,189.35,374.81,290.36,219.04,340,89.05,28.05,-,29.35,-,-,42,7.45,-,14.85,-,6.61,20.22,2,2515.25,2726.08,2607.49,2983.36,3544.21,3594.42,3538,799.45,842.26,699.26,1159.5,1075.79,855.21,1121,150.49,33.59,80.63,54.91,55.52,41.22,32,76.09,100.47,66.43,15.92,312.42,469.19,533,43.44,101.01,41,20.74,11.97,43.44,49,82.86,87.61,141.14,40.35,30.13,288.43,198
Banyumas,4590.47,4457,4556.51,6962.02,7076.15,7799.15,8099,312.66,406,417.45,880.95,633.37,613.46,606,101.25,15.15,13.45,11.8,37.4,215.8,-,-,-,-,-,-,-,-,2737.25,2851.74,3223.54,4322.79,4543.68,4894.61,4889,1106.92,873.77,681.87,1138.18,874.32,816.17,1225,26.77,35.23,13.1,75.99,35.69,47.7,65,36.7,94.93,65.38,130.96,656.86,824.12,969,133.02,63.35,36.46,200.47,113.03,151.93,175,135.9,116.83,105.26,200.89,181.8,235.35,170
Purbalingga,2974.26,3529.98,2922.06,3833.1,4450.53,4560.63,4924,170.66,321.76,175.68,160.56,206.73,139.73,106,270.62,69.51,23.73,115.16,174.83,87.74,124,19.29,-,-,5.3,-,2.46,-,1972.04,2144.49,2172.56,2819.93,3097.62,3276.48,3340,371.82,761.2,426.89,415.09,471.56,468.37,479,40.1,19.7,27.03,57.85,84.36,1.1,8,12.36,52.9,2.42,109.76,310.03,416.58,642,66.62,57.31,42.05,32.41,40.13,50.98,35,50.75,103.11,51.71,117.03,65.26,117.19,189
Banjarnegara,4032.32,4280,4882.46,5429.82,5457.15,7560.27,6066,541.04,394.67,734.3,652.08,395.74,819.46,549,-,76.87,20.62,21.53,79,10.57,16,-,11.61,13.66,12.28,4.4,-,-,2621.14,2820.46,3282.64,3949.66,4087.06,5551.36,4053,697.97,737.72,567.53,470.6,344.53,388.5,384,67.19,-,7.39,33.11,42.89,39.09,94,20.19,9.13,15.07,31.23,304.69,473.19,681,10.68,39.84,3.38,12.76,6.53,-,6,74.11,189.7,237.86,246.58,192.32,278.11,282
Kebumen,2838.02,3674.49,3983.52,5449.39,5655.88,5455.93,5920,358.23,241.36,154.66,604.81,399.09,277.85,204,-,72.47,3.4,18.72,38.2,23.95,44,-,-,6.02,13.86,45.13,9.62,-,1804.74,2400.57,2615.05,3355.19,3618.37,3582.41,3654,439.36,598.65,816.46,1054.5,802.89,637.91,922,46.65,73.66,78.82,49.57,108.23,12.87,73,27.74,49.82,100.63,81.1,312.82,617.08,722,48.84,68.06,50.97,51.59,43.04,51.69,12,112.46,169.9,157.51,220.04,288.12,242.54,289
Purworejo,3208.82,3064.74,3977.78,4719.55,5073.66,5715.85,6010,129.97,246.53,338.43,644.9,627.62,639.65,229,44.8,37.28,82.56,87.08,6.04,76.37,48,-,14.65,-,29.23,2.86,17.67,18,1987.48,1560.04,2432.07,2836.51,2992.17,3523.21,3861,722.36,787.26,743.76,764.51,937.88,591.44,1095,21.81,74.26,152.89,22.82,4.15,54.18,92,66.35,171.85,72.02,99.27,273.51,276.7,348,65.16,32.09,24.52,40.27,78.53,187.21,49,170.88,140.77,131.53,194.97,150.89,349.42,272
Wonosobo,3775.34,3739.17,3896.64,5006.11,6456.73,5862.89,5528,777.14,470.38,469.36,747.05,922.42,857.57,510,32.6,32.22,14.77,83.8,2.4,102.03,21,-,-,-,-,13.08,-,-,2001.2,2435.99,2452.99,3081.17,4059.32,3656.33,3593,455.64,442.87,439.48,492.62,336.64,438.05,457,67.06,25.5,131.6,53.33,288.57,65.17,147,141.1,47.12,140.29,80.75,548.18,446.66,492,88.82,66.5,76.97,124.54,71.23,67.49,64,211.78,218.58,171.19,342.84,214.88,229.59,244
Magelang,3204.18,3618.61,4350.19,5005.48,6876.66,6388.75,5813,505.7,404.95,511.7,404.66,898.99,483.34,555,10.8,24.07,50.01,52,65.36,-,-,-,-,-,-,-,-,-,1919.73,2276.37,2606.31,3159.29,4021.38,4636.65,3658,318.64,406.18,578.89,796.62,925.59,490.25,782,83.7,60.76,100.68,80.54,58.54,38.99,28,116.07,142.78,221.5,158.42,567.96,498.57,582,55.72,71.37,57.86,119.26,27.4,69.36,27,193.83,232.12,223.25,234.69,311.44,171.59,181
Boyolali,4048.12,3796.24,3460.6,5057.98,5453.54,5455.34,6197,392.43,364.33,149.5,370.85,214.39,316.83,320,32.55,-,-,14.48,12.67,-,8,-,-,-,-,12.28,12.96,-,3113.42,2774.74,2841.81,4058.69,4401.14,4179.86,4576,347.22,371.62,252.76,342.59,319.05,514.93,600,15.97,4.49,-,6.87,37.19,11.26,39,-,62.63,3.25,45.54,235,241.47,315,10.74,34.18,14.36,11.36,38.21,6.78,45,135.78,184.25,198.91,207.62,183.62,171.26,295
Klaten,4419.64,4847.39,4429.82,5624.29,6607.57,5844.03,6046,204.56,308.49,250.38,393.18,423.57,281.49,177,16.54,-,16.93,56.81,49.3,109.3,-,-,-,40.18,-,20.81,-,4,3523.2,3644.55,3506.96,4664.43,5151.21,4528.23,4449,464.99,623.13,310.61,344.33,368.1,275.59,342,53.56,-,8.41,18.98,19.83,1.27,10,33.55,38.78,71.99,26.66,372.83,434.02,768,34.57,21.5,41.81,2.53,13.87,23.17,18,88.67,210.93,182.54,117.38,188.04,190.97,277
Sukoharjo,4780.97,5461.01,5752.04,6422.85,6382.81,6826.57,6697,430.06,525.62,738.19,841.11,934.91,753.74,492,44.05,-,10.47,11.96,19.4,20.52,-,40.43,13.82,24.22,-,-,-,8,3777.66,3972.65,4219.89,4803.09,4714.23,4837.17,5368,253.59,538.15,477.02,355.12,311.83,453.23,269,37.69,88.46,17.7,58.72,-,8.54,35,51.09,15.2,38.6,27.52,167.04,512.43,365,44.02,153.74,50.86,133.22,82.65,33.82,23,102.39,153.37,175.08,192.11,152.75,207.11,137
Wonogiri,4567.5,3907.71,4242.19,5590.65,7101.06,6589.18,6496,667.64,438.81,301.26,656.15,961.33,549.4,620,41.24,7.77,-,-,21.65,4.43,12,-,-,31.27,8.12,17.71,0.28,-,2761.09,2621.56,3108.38,3573.77,4192.06,4140.5,4113,982.77,683.68,652.3,1009.31,1377.1,1199.75,880,16.12,-,6.36,52.2,-,1.01,21,17.5,24.68,10.41,76.02,350.61,490.42,572,35.73,11.24,19.02,51.95,14.12,27.35,81,45.42,119.98,113.18,163.13,166.47,176.04,196
Karanganyar,5157.81,5333.29,5034.69,5778.55,6577.15,6402.53,7207,709.54,568,552.77,623.93,345.88,555.55,682,17.16,-,8.5,-,-,2.03,6,24.64,31.91,1.52,7.48,17.35,16.57,14,3772.53,4106.44,3516.85,4184.98,4898.26,4783.85,5433,270.06,422.98,607.47,663.59,898.4,614.82,605,6.86,2.64,36.17,30.44,10.42,10.13,1,119.23,45.21,52.82,23.05,163.32,303.43,285,85.83,46.27,96.68,78.34,121.89,60.88,19,151.95,109.84,161.91,166.73,121.63,55.25,161
Sragen,4065.41,3871.71,4298.27,6338.17,6296.89,5957.53,6530,349.16,342.03,248.83,457.32,203.33,379.29,235,-,1.28,-,11.1,37.51,5.06,18,11.64,-,7.7,28.68,7.95,-,18,2529.94,2458.07,2734.19,4060.91,4282.1,4029.67,4614,978.39,917.79,1062.57,1344.44,1112.96,986.77,910,10.16,3.52,82.46,86.56,5.93,-,5,47.8,9.33,31.94,22.92,342.65,283.05,391,14.3,-,-,19.81,33.22,5.97,12,124.03,139.69,130.59,306.45,271.25,267.71,328
Grobogan,3269.58,3286.57,3311.09,3234.51,4356.6,4307.7,5617,316.93,339.22,298.26,302.72,299.97,211.17,274,48.38,29.16,9.3,13.79,53.67,19.48,-,3.68,-,-,9.46,6.12,22.56,5,2214.05,2181.78,2317.94,2027.97,2766.56,2972.23,3218,486.19,527.49,495.62,677.33,657.01,625.38,1010,9.43,7.61,5.24,12.68,7.59,11.55,79,9.79,27.57,27.44,34.4,300.12,210.99,698,113.92,95.81,82.44,89.36,45.27,13.36,10,67.21,77.94,74.86,66.8,220.29,220.98,322
Blora,2216.48,4697.26,3793.47,4754.05,4880.6,4823.49,5042,372.53,963.8,460.47,532.04,662.21,636.41,518,20.4,38.03,109.65,93.13,74.75,5.6,7,2.52,-,-,-,31.35,32.49,26,952.08,1674,1462.22,1883.02,2109.19,2244.6,1813,709.73,1665.38,1366.15,1821.42,1383.74,1231.61,1584,50.07,46.78,26.15,87.97,92.17,69.18,27,4.25,12.08,76.08,31.16,282.06,374.68,592,4.6,54.52,8.02,26.5,46.8,50.16,22,100.3,242.68,284.72,278.81,198.32,178.77,452
Rembang,2476.34,3124.35,2810.95,3966.82,5353,5095.74,6093,225.23,422.95,278.8,409.83,692.88,424.31,677,95.32,87.54,44.37,131.83,46.53,30.46,127,37,0.1,1.6,10.3,20.17,4.85,4,1268.72,1601.7,1509.9,2437.35,3425.05,3247.23,3363,626.8,724.12,520.6,621.31,647.27,776.1,1207,10.48,32.46,61.97,65,30.12,70.06,84,2.55,10.81,17.52,52.6,188.37,194.72,354,46.56,26.78,8.81,28.75,40.79,0.97,3,163.69,217.88,367.38,209.85,261.83,347.06,274
Pati,4165.81,4594.33,3647.62,4378.21,5832.99,6630.47,5648,941.82,1030.42,705.56,1000.04,1158.02,1314.96,1289,19.39,187.87,3.57,9.68,11.66,62.03,48,5.58,19.52,1.51,7.88,19.67,-,3,2472.99,2433.24,2210.01,2421.53,3249.51,3658.02,3481,465.27,551.77,305.17,498.97,327.86,707.14,155,56.79,27.44,85.51,67.58,117.47,58.22,48,-,1.63,13.62,7.77,360.46,358.85,250,69.83,79.75,76.68,93.01,311.57,192.68,86,134.13,262.68,245.99,271.73,276.78,278.58,289
Kudus,3342.15,3289.82,3629.99,4316.17,7090.67,5819.97,5777,319.17,295.64,295.69,458.66,525.61,317.31,196,20.76,8.81,43.12,56.47,56.36,75.18,25,-,-,-,-,3.78,-,-,2305.8,2071.73,2398.19,2844.51,4712.95,4145.2,4100,254.95,280.42,432.74,358.31,637.43,278.76,254,162.63,235.73,108.98,280.25,543,178.77,153,98.85,159.65,45.11,50.21,440.21,531.91,723,72.32,78.47,119.65,92.07,61.2,75.66,111,107.67,159.37,186.51,175.68,110.13,217.2,215
Jepara,2737.11,2995.54,2998.68,4252.54,5675.08,4614.84,5163,177.33,286.28,151.16,418.55,681.79,116.74,381,-,-,7.86,57.09,-,66.2,24,3.75,6.68,7.96,1.22,3.46,-,-,2261.9,2262.09,2298.03,2978.47,4124.08,3523.9,3632,184.03,276.61,344.92,518.87,335.91,326.14,478,25.8,6.99,34.91,0.87,12.42,5.72,27,4.29,-,6.46,3.71,276.87,311.97,382,15.22,41.95,42.04,29.17,50.74,71.36,41,64.8,114.93,105.33,244.59,189.8,192.8,199
Demak,3591.04,4798.66,4615.1,5320.91,6638.06,6848.7,5251,236.03,346.68,280.95,312.24,882.17,715.3,274,22.93,60.01,43.07,14.27,389.26,36.5,13,21.66,2.5,-,5.59,-,-,-,2789.66,3671.69,3512.35,3993.33,4206.98,5111.14,4282,229.23,189.15,274.81,441.85,405.19,534.26,134,124.06,255.53,101.7,94.72,44.92,34.95,42,54.52,30.35,119.14,53.01,410.6,225.83,295,22.83,12.5,26.55,51.13,21.68,34.4,24,90.13,230.25,256.52,354.76,277.26,156.32,187
Semarang,4564,5303.22,4825.75,5297.73,7480.88,7746.04,7581,604.77,1029.74,544.28,435.52,619.19,1032.7,324,85.08,48.25,13.42,84.39,7.02,51.65,190,6.97,-,-,15.27,-,31.51,24,3035.18,3201.59,3233.44,3830.95,4671.84,4915.81,4797,419,597.8,490.71,558.32,1120.31,655.17,1063,18.84,13.03,65.97,18.78,24.22,32.97,12,96.25,83.27,156.16,116.99,715.85,725.69,786,70.84,92.48,94.58,82.5,66.29,35.13,70,227.07,237.07,227.19,155.02,256.16,265.39,316
Temanggung,2808.33,2227.28,3228.42,3400.31,6919.66,8193.34,7769,267.44,244.86,372.05,85.25,606.69,455.05,577,99.13,124.9,94.62,-,117.28,187.63,-,-,18.64,14.2,13.12,-,20.81,-,1506.77,1303.49,1510.23,2451.55,3294.36,4431.24,4368,677.83,415.51,984.39,657.49,2432.79,2256.33,1989,58.96,25.84,78.79,49.06,45.82,93.57,83,34.03,7.46,44.54,28.14,310.84,527.47,422,6.13,15.37,4.55,0.83,-,7.35,10,158.04,71.21,125.05,114.87,111.89,213.89,321
Kendal,4110.15,4825.14,5055.55,5277.39,5551,6496.96,6832,316.11,429.86,529.3,628.66,669.06,625.33,407,-,4.61,74.92,80.27,7.3,-,3,-,13.79,4.33,-,-,-,4,3240.99,3435.85,3679.95,3669,3796.47,4507.47,4991,384.93,665.75,427.22,501.54,319.44,483.2,590,0.66,48.11,44.27,68.51,69.37,23.24,26,39.94,36.22,76.88,175.42,460.65,701.47,573,39.78,40.09,32.57,26.66,43.42,53.17,73,87.74,150.85,186.11,127.34,185.29,103.08,166
